ticket,symbol,timeframe,action,score,blended_score,ml_win_prob,news_boost,zone_boost,ema_boost,rr,htf_consensus,htf_5m,htf_30m,htf_1h,hour,day_of_week,had_choch_switch,had_choch_confirm,had_choch_reject,had_cisd,had_ob_confluence,had_fvg_confluence,stoch_cross,ema50_aligned,lg_pattern,lg_strength_parsed,outcome,profit,closed_at
1432228547,BTC,5m,sell,85.6,83.5,0.108,0.0,0.0,15.0,1.5,bearish,bearish,,bearish,2,3,False,False,False,False,True,False,False,False,wick_rejection,0.065,1,0.42,2026-06-25T03:18:52.313269
1432364141,BTC,15m,sell,110.1,108.4,0.111,0.0,0.0,15.0,1.5,bearish,bearish,,bearish,2,3,False,False,False,False,True,False,False,True,wick_rejection,0.083,0,0.0,2026-06-25T03:19:52.315554
1432506215,BTC,5m,sell,108.5,115.7,0.341,0.0,0.0,15.0,1.5,bearish,bearish,,bearish,3,3,False,False,False,False,True,False,False,False,wick_rejection,0.013,1,1.15,2026-06-25T03:55:35.778950
1432540972,BTC,5m,sell,107.8,120.6,0.474,0.0,0.0,15.0,1.5,bearish,bearish,,bearish,3,3,False,False,False,False,True,False,False,False,wick_rejection,0.013,1,2.42,2026-06-25T03:55:35.784603
1432853321,BTC,5m,sell,94.1,101.5,0.34,0.0,0.0,15.0,1.5,bearish,bearish,,bearish,4,3,False,False,False,False,True,False,False,True,wick_rejection,0.013,0,-2.82,2026-06-25T05:24:35.778527
1432900175,BTC,5m,sell,87.3,109.6,0.713,0.0,0.0,15.0,1.5,bearish,bearish,,bearish,4,3,False,False,False,False,True,False,False,False,wick_rejection,0.005,0,-2.49,2026-06-25T05:39:35.784247
1432987986,BTC,5m,sell,89.8,102.0,0.461,0.0,0.0,15.0,1.5,bearish,bearish,,bearish,5,3,False,False,False,False,True,False,True,False,wick_rejection,0.018,0,-2.01,2026-06-25T05:45:35.785391
1433043465,BTC,15m,sell,107.3,110.3,0.229,0.0,0.0,15.0,1.5,bearish,bearish,,bearish,5,3,False,False,False,False,True,False,False,False,wick_rejection,0.033,0,-4.97,2026-06-25T05:53:35.781281
1433673861,EURUSD,5m,buy,122.5,109.4,0.114,0.0,0.0,0.0,1.5,bullish,neutral,,bullish,8,3,False,False,False,True,False,True,True,False,wick_rejection,0.016,0,-2.1,2026-06-25T08:14:35.786012
1434195415,ETH,5m,buy,121.5,103.8,0.142,0.0,0.0,0.0,1.5,bullish,bullish,,bullish,9,3,False,False,False,False,True,False,True,True,wick_rejection,0.015,0,-0.92,2026-06-25T09:58:35.787617
1434234834,ETH,5m,buy,129.3,110.1,0.104,0.0,0.0,0.0,1.5,bullish,bullish,,bullish,9,3,False,False,False,False,True,False,False,True,wick_rejection,0.013,0,0.0,2026-06-25T10:18:35.791812
1434340048,ETH,5m,buy,128.6,110.6,0.136,0.0,0.0,0.0,1.5,bullish,bullish,,bullish,10,3,False,False,False,False,True,False,False,True,wick_rejection,0.013,0,-0.88,2026-06-25T10:22:35.791657
1434370204,GBPJPY,5m,buy,98.0,110.3,0.581,0.0,10.0,0.0,1.5,bullish,bullish,,bullish,10,3,False,False,False,False,False,True,False,True,sweep_recovery,0.007,0,-3.24,2026-06-25T10:45:35.788831
1434423737,GBPJPY,5m,buy,99.2,94.4,0.152,0.0,10.0,0.0,1.5,bullish,bullish,,bullish,10,3,False,False,False,False,False,True,False,True,sweep_recovery,0.007,0,-3.55,2026-06-25T10:42:35.792918
1434423916,EURUSD,5m,buy,108.6,96.1,0.153,0.0,0.0,0.0,1.5,bullish,bullish,,bullish,10,3,False,False,False,False,False,True,False,True,wick_rejection,0.004,0,-2.04,2026-06-25T10:46:35.784306
1434473819,EURUSD,5m,buy,122.9,115.0,0.268,0.0,0.0,0.0,1.5,bullish,bullish,,bullish,10,3,False,False,False,False,False,True,False,True,wick_rejection,0.004,0,-1.92,2026-06-25T11:03:35.792779
1434502012,GBPJPY,5m,buy,145.3,150.7,0.407,0.0,10.0,0.0,1.5,bullish,bullish,,bullish,10,3,False,False,False,True,False,True,True,True,wick_rejection,0.002,0,-3.83,2026-06-25T11:01:35.788542
1434521768,EURUSD,5m,buy,128.9,126.8,0.413,0.0,0.0,0.0,1.49,bullish,bullish,,bullish,10,3,False,False,False,True,False,True,True,True,sweep_recovery,0.009,0,-1.95,2026-06-25T11:03:35.787467
1435486131,ETH,5m,sell,124.1,107.2,0.165,0.0,0.0,0.0,1.5,bearish,bearish,,bearish,13,3,False,True,False,False,True,False,True,True,wick_rejection,0.024,1,3.12,2026-06-25T14:31:32.067816
1435849566,ETH,5m,sell,117.1,99.4,0.146,0.0,0.0,0.0,1.5,bearish,bearish,,bearish,14,3,False,False,False,False,True,False,False,True,wick_rejection,0.005,1,3.25,2026-06-25T14:31:32.060860
1436352742,XAUUSD,5m,buy,138.7,129.2,0.128,0.0,0.0,0.0,1.5,bullish,bullish,,bullish,15,3,False,False,False,True,True,False,True,True,wick_rejection,0.238,0,0.0,2026-06-25T15:54:32.066021
1436542972,XAUUSD,5m,buy,105.0,91.7,0.158,0.0,0.0,0.0,1.5,bullish,bullish,,bullish,15,3,False,False,False,False,True,False,False,True,wick_rejection,0.238,0,0.0,2026-06-25T15:54:32.070974
